"id","full_name","mobile_number","taluka","village","photo","category","data_sharing_agreement","created_at","updated_at","gender","age","primary_source_income","skill_pruning","skill_harvesting","skill_dipping","skill_thinning","skill_none","skill_other","employment_type","willing_to_migrate","expected_wage","availability","want_training","comm_mobile_app","comm_whatsapp","comm_calling","comm_sms","comm_other","adult_men_seeking_employment","adult_women_seeking_employment","can_refer_others","referral_name","referral_contact","location","location_accuracy","location_timestamp"
"2","Individual Worker 1","+919876543200","Bengaluru South","Koramangala","","individual_labor",True,"2025-08-09 00:23:02.896737+05:30","2025-08-09 00:23:02.896737+05:30","female",28,"Agriculture",False,True,False,False,False,"","seasonal","travel_day_close_home","762.92","Available from next week",False,False,False,False,False,"",0,0,False,"","","0101000020E6100000D7A3703D0A6753405C8FC2F528DC2940",NULL,NULL
"3","Individual Worker 2","+919876543201","Bengaluru South","Koramangala","","individual_labor",True,"2025-08-09 00:23:02.908495+05:30","2025-08-09 00:23:02.908495+05:30","female",38,"Agriculture",False,True,False,False,False,"","seasonal","travel_day_close_home","739.22","Available from next week",False,False,False,False,False,"",0,0,False,"","","0101000020E6100000D7A3703D0A6753405C8FC2F528DC2940",NULL,NULL
"4","Individual Worker 3","+919876543202","Bengaluru South","Koramangala","","individual_labor",True,"2025-08-09 00:23:02.908495+05:30","2025-08-09 00:23:02.908495+05:30","male",49,"Agriculture",False,True,False,False,False,"","seasonal","travel_day_close_home","833.69","Available from next week",False,False,False,False,False,"",0,0,False,"","","0101000020E6100000D7A3703D0A6753405C8FC2F528DC2940",NULL,NULL
"5","Individual Worker 4","+919876543203","Bengaluru South","Koramangala","","individual_labor",True,"2025-08-09 00:23:02.909938+05:30","2025-08-09 00:23:02.909938+05:30","female",40,"Agriculture",False,True,False,False,False,"","seasonal","travel_day_close_home","932.94","Available from next week",False,False,False,False,False,"",0,0,False,"","","0101000020E6100000D7A3703D0A6753405C8FC2F528DC2940",NULL,NULL
"6","Individual Worker 5","+919876543204","Bengaluru South","Koramangala","","individual_labor",True,"2025-08-09 00:23:02.909938+05:30","2025-08-09 00:23:02.909938+05:30","male",49,"Agriculture",False,True,False,False,False,"","seasonal","travel_day_close_home","709.77","Available from next week",False,False,False,False,False,"",0,0,False,"","","0101000020E6100000D7A3703D0A6753405C8FC2F528DC2940",NULL,NULL
"7","Individual Worker 6","+919876543205","Bengaluru South","Koramangala","","individual_labor",True,"2025-08-09 00:23:02.911265+05:30","2025-08-09 00:23:02.911265+05:30","male",40,"Agriculture",False,True,False,False,False,"","seasonal","travel_day_close_home","916.42","Available from next week",False,False,False,False,False,"",0,0,False,"","","0101000020E6100000D7A3703D0A6753405C8FC2F528DC2940",NULL,NULL
"8","Individual Worker 7","+919876543206","Bengaluru South","Koramangala","","individual_labor",True,"2025-08-09 00:23:02.911265+05:30","2025-08-09 00:23:02.911265+05:30","male",44,"Agriculture",False,True,False,False,False,"","seasonal","travel_day_close_home","768.90","Available from next week",False,False,False,False,False,"",0,0,False,"","","0101000020E6100000D7A3703D0A6753405C8FC2F528DC2940",NULL,NULL
"9","Individual Worker 8","+919876543207","Bengaluru South","Koramangala","","individual_labor",True,"2025-08-09 00:23:02.912481+05:30","2025-08-09 00:23:02.912481+05:30","male",32,"Agriculture",False,True,False,False,False,"","seasonal","travel_day_close_home","732.69","Available from next week",False,False,False,False,False,"",0,0,False,"","","0101000020E6100000D7A3703D0A6753405C8FC2F528DC2940",NULL,NULL
"10","Individual Worker 9","+919876543208","Bengaluru South","Koramangala","","individual_labor",True,"2025-08-09 00:23:02.912481+05:30","2025-08-09 00:23:02.912481+05:30","male",40,"Agriculture",False,True,False,False,False,"","seasonal","travel_day_close_home","759.04","Available from next week",False,False,False,False,False,"",0,0,False,"","","0101000020E6100000D7A3703D0A6753405C8FC2F528DC2940",NULL,NULL
"11","Individual Worker 10","+919876543209","Bengaluru South","Koramangala","","individual_labor",True,"2025-08-09 00:23:02.913685+05:30","2025-08-09 00:23:02.913685+05:30","female",24,"Agriculture",False,True,False,False,False,"","seasonal","travel_day_close_home","860.51","Available from next week",False,False,False,False,False,"",0,0,False,"","","0101000020E6100000D7A3703D0A6753405C8FC2F528DC2940",NULL,NULL
